date,bottom,depth,chl,cdom,mineral,cloud,suntheta,windspeed,temp,salinity,BLUE,GREEN,RED,name
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,80.60407670807771,107.79399114775411,128.10073392153922,1
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,69.75124050553845,93.255371922018,110.04536489930584,2
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,20.42835706114947,27.5357980021728,32.61154823329934,3
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,17.322977532846426,23.28601432496696,27.45547669545568,4
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,96.58007220589751,135.73852662323134,158.55302943941527,5
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,0.0,30.0,0.0,10.0,0.0,82.12157325618608,114.80247407870607,132.77560532798142,6
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,23.616296949220168,33.15092551141522,38.454028355047214,7
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,5.0,10.0,1.0,30.0,0.0,10.0,0.0,19.98655679305733,27.965662377769178,32.285970005947014,8
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,90.98504732320042,126.90499683611229,146.82186488738782,9
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,0.0,30.0,0.0,10.0,0.0,76.13252109436273,106.03099538330973,121.99296746409055,10
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,0.0,0.0,10.0,0.0,21.60204552868569,30.315860796543756,35.10990268937869,11
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,1.0,1.0,30.0,0.0,10.0,0.0,18.25465421786787,25.544642611431584,29.455220251075158,12
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,90.17149870026077,124.78690087058531,141.6887233826373,13
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,0.0,30.0,0.0,10.0,0.0,74.60765575166909,102.85888528323927,116.05589417879395,14
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,1.0,0.0,0.0,10.0,0.0,20.980046666486587,29.104979237489406,33.0524553229279,15
2018-06-03_10-51-13,dummyR.bot,1.25,5.0,15.0,10.0,1.0,30.0,0.0,10.0,0.0,17.711868140149182,24.49511870895122,27.695513476397856,16
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,0.0,0.0,0.0,10.0,0.0,90.4363020109832,125.96851449386256,145.85648433873345,17
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,0.0,30.0,0.0,10.0,0.0,77.04095712350981,106.46713253619038,121.51989327898943,18
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,22.218026152237726,30.754596403506646,35.05837958864389,19
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,1.0,1.0,30.0,0.0,10.0,0.0,18.809358425975624,25.945677848269238,29.42377598659615,20
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,96.47886707958747,130.78729935247915,142.6071561217263,21
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,0.0,30.0,0.0,10.0,0.0,80.96031997515638,108.76000820911914,117.14827722066809,22
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,1.0,0.0,0.0,10.0,0.0,23.01919347820049,30.97596319491957,33.42109214206873,23
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,5.0,10.0,1.0,30.0,0.0,10.0,0.0,19.45941379611456,26.093903115584602,28.018719845481954,24
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,0.0,0.0,0.0,10.0,0.0,87.46931136524246,118.8201112076744,131.04625764117864,25
2018-06-03_10-51-13,dummyR.bot,1.25,50.0,15.0,1.0,0.0,30.0,0.0,10.0,0.0,72.58994835471232,98.10294267476604,107.21301936017382,26
