name,RED,GREEN,BLUE,CLEAR
2018-07-05_17-10-08\bottom_dummyR.bot\depth_1.25\chl_7.0\cdom_2.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,0.9067352530634043,0.831227102191371,0.9546401554388163,0.8812899446932797
2018-07-05_17-10-34\bottom_dummyR.bot\depth_1.25\chl_8.0\cdom_3.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.021145184907296,0.9350584859095903,1.0465019024275932,0.985345694570243
2018-07-05_17-11-00\bottom_dummyR.bot\depth_1.25\chl_10.0\cdom_2.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,0.9586626523492853,0.9083164444092917,1.0716897273544626,0.9602971960870295
2018-07-05_17-11-24\bottom_dummyR.bot\depth_1.25\chl_9.0\cdom_1.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,0.7495601254714795,0.6884604989318569,0.8388334795626974,0.7408060555652443
2018-07-05_17-11-58\bottom_dummyR.bot\depth_1.25\chl_5.0\cdom_6.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.6268869042422298,1.5423491593692207,1.6409991258742065,1.5885578364972652
2018-07-05_17-12-25\bottom_dummyR.bot\depth_1.25\chl_7.0\cdom_8.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.9212549292864223,1.8327701543329649,1.9338788519842764,1.8809605603787742
2018-07-05_17-13-00\bottom_dummyR.bot\depth_1.25\chl_5.0\cdom_9.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,2.1846772190463306,2.104559266953478,2.205017867668373,2.149821214153142
2018-07-05_17-13-39\bottom_dummyR.bot\depth_1.25\chl_8.0\cdom_10.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,2.3018987352940607,2.2232293395651586,2.3381609995478687,2.272007485796151
2018-07-05_17-15-08\bottom_dummyR.bot\depth_1.25\chl_6.0\cdom_8.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,2.0164576249440507,1.9433112727627369,2.056329953555552,1.9897405502681467
2018-07-05_17-16-08\bottom_dummyR.bot\depth_1.25\chl_6.0\cdom_11.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,2.449795887038729,2.355835071996957,2.4455242494134777,2.4025789648933467
2018-07-05_17-16-48\bottom_dummyR.bot\depth_1.25\chl_7.0\cdom_9.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,2.2187522577663303,2.155109643737988,2.281642116396012,2.202009347099162
2018-07-05_17-17-34\bottom_dummyR.bot\depth_1.25\chl_22.0\cdom_1.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,0.968653750188309,1.0066966673484996,1.3178188638383526,1.058649919135288
2018-07-05_17-17-57\bottom_dummyR.bot\depth_1.25\chl_25.0\cdom_1.0\mineral_2.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.017454454922901,1.0756116751361806,1.419841162247741,1.1255535720641483
2018-07-05_17-18-21\bottom_dummyR.bot\depth_1.25\chl_27.0\cdom_3.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.3297100471044283,1.3810230961293029,1.7203979322109932,1.4327625066428462
2018-07-05_17-20-03\bottom_dummyR.bot\depth_1.25\chl_31.0\cdom_2.0\mineral_1.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.2078958785270084,1.2829767694172873,1.6639164077986195,1.331982895936803
2018-07-05_17-20-43\bottom_dummyR.bot\depth_1.25\chl_6.0\cdom_2.0\mineral_6.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.2516535105704292,1.2542066261956535,1.4661989488090867,1.2991239672985928
2018-07-05_17-21-10\bottom_dummyR.bot\depth_1.25\chl_5.0\cdom_1.0\mineral_7.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.1026252610274325,1.1113236437251581,1.337635542345733,1.1572100267928915
2018-07-05_17-21-38\bottom_dummyR.bot\depth_1.25\chl_8.0\cdom_2.0\mineral_8.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.4722103123336983,1.5370912294323507,1.8232470948037969,1.573800705179973
2018-07-05_17-22-05\bottom_dummyR.bot\depth_1.25\chl_7.0\cdom_2.0\mineral_7.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.361898313663424,1.3957674571006289,1.64557320062252,1.4372473170425433
2018-07-05_17-22-40\bottom_dummyR.bot\depth_1.25\chl_6.0\cdom_1.0\mineral_8.0\cloud_0.0\suntheta_0.0\windspeed_0.0\temp_10.0\salinity_0.0,1.2082392394293173,1.2486175423925758,1.5131980448873477,1.2906405388680637
