# wavelength,relative_responsivity
304.80075305930336, 0.009821148415437797
324.00376529651703, 0.010009413241292897
354.47128961405707, 0.014229683087543465
370.505177282711, 0.016347662378412675
386.57044242234076, 0.020426733605271696
393.159711327267, 0.0322560401631633
395.1678694697207, 0.05776592406652048
398.8390335738939, 0.0872136805773458
400.784436774396, 0.10880138060872313
401.19234389708186, 0.13429557577659268
403.1691245685597, 0.15784436774396005
403.54565422026985, 0.18137747097583945
405.55381236272353, 0.20688735487919696
405.8362096015061, 0.22453718230310638
406.2754941951678, 0.25199246940696585
406.58926890492626, 0.2716033887668655
408.66018198933165, 0.30103545654220265
410.54283024788197, 0.31870097270160025
410.8879824286162, 0.34027298399748973
413.0216504549733, 0.37362723564480704
415.0611860684029, 0.40109821148415425
415.37496077816127, 0.4207091308440538
417.3203639786633, 0.44229683087543126
419.4854094759962, 0.4776121744587385
421.3680577345466, 0.49527769061813587
423.28208346407274, 0.5149042987135234
423.50172576090364, 0.5286319422654532
428.52212111703795, 0.5424066520238465
434.95450266708497, 0.5444304989017882
438.468779416379, 0.5640727957326636
445.0894257922811, 0.577863194226545
445.3718230310636, 0.5955130216504546
460.0878569187323, 0.6152651396297455
465.07687480389075, 0.6270787574521489
466.9281455914653, 0.6427831816755565
472.04267336052715, 0.6624411672419198
472.29369312833387, 0.6781299027298395
480.4832130530279, 0.6899748980232188
487.1666143708817, 0.7076874803890801
495.26200188264824, 0.7136491998744896
503.5770316912457, 0.7333385629118288
505.39692500784435, 0.7470818951992464
513.3668026357075, 0.7451992469406961
518.3871979918418, 0.7589739566990895
521.8073423282083, 0.7727329777219951
527.8004392845937, 0.7473015374960772
529.651710072168, 0.7630059617194849
531.4402259177909, 0.7747882020709125
536.4292438029495, 0.786601819893316
539.849388139316, 0.8003608409162215
543.2695324756824, 0.814119861939127
547.5996234703482, 0.7847505491057415
549.4508942579228, 0.800454973329149
551.3021650454973, 0.8161593975525566
553.1534358330719, 0.8318638217759642
556.6049576404141, 0.8475839347348597
562.8176968936305, 0.8358801380608716
570.9130844053968, 0.8418418575462812
571.0385942893002, 0.8496862252902408
572.7957326639473, 0.8595073737056786
573.046752431754, 0.8751961091935982
578.0357703169125, 0.8870097270160018
583.0561656730467, 0.9007844367743952
592.7204267336053, 0.9048007530593027
600.5334170065892, 0.8931126451208026
602.3219328522121, 0.9048948854722303
602.5101976780671, 0.9166614370881699
604.2987135236899, 0.9284436774395977
606.055851898337, 0.9382648258550353
608.8484468151867, 0.9128020081581417
613.7747097583934, 0.9206934421085653
613.9629745842485, 0.932459993724505
615.7201129588955, 0.9422811421399427
616.002510197678, 0.9599309695638524
620.7718857860057, 0.9580169438343261
624.1920301223722, 0.9717759648572317
627.5807969877628, 0.9835738939441473
629.1810480075305, 0.8835895826796354
629.4320677753374, 0.899278318167555
629.6517100721683, 0.9130059617194847
629.9968622529025, 0.9345779730153742
630.3420144336367, 0.9561499843112637
634.2328208346407, 0.8993253843740188
635.958581738312, 0.9071854408534665
637.9981173517415, 0.8346564166928139
638.2491371195481, 0.550345152180734
638.6256667712582, 0.873878255412613
639.06495136492, 0.7013335425164727
639.1904612488233, 0.8091779102604324
639.7866331973643, 0.7464386570442417
639.9121430812677, 0.8542830247882014
640.1004079071226, 0.6660495764041414
640.1004079071226, 0.3660495764041418
640.3200502039535, 0.779777219956071
640.5710699717604, 0.595465955443991
640.6652023846877, 0.5013492312519608
641.1672419203012, 0.6327267022278
641.2299968622528, 0.3366488860997805
642.2026984625039, 0.29744273611546923
642.8302478820207, 0.4366645748352681
643.36366488861, 0.2700031377470977
644.1794791339819, 0.22099152808283662
647.066206463759, 0.20141198619391298
651.5845622842799, 0.18380922497646712
656.6990900533417, 0.20346721054283035
656.9814872921243, 0.22111703796673998
658.8955130216505, 0.2407436460621275
663.100094132413, 0.20352996548478208
665.9554439912143, 0.18198933165986841
666.9281455914653, 0.14278318167555715
669.5638531534358, 0.1075149042987138
672.2623156573579, 0.0761688107938503
683.213053027926, 0.06058989645434609
697.4898023219329, 0.052886727329777505
711.9861939127707, 0.05891120175713871
726.5453404455601, 0.06885786005647976
736.2409789770945, 0.07483526827737719
745.8424850957014, 0.07492940069030474
753.9692500784436, 0.08285221211170435
759.0210229055538, 0.0985880138060875
762.5352996548479, 0.11823031063696288
762.8176968936305, 0.1358801380608725
769.4697207405084, 0.15163162849074374
777.0630687166614, 0.12621587700031411
781.5500470662065, 0.10665202384687844
787.6372764355193, 0.0871038594289304
803.5456542202699, 0.0813774709758397
816.4417947913398, 0.08738625666771305
823.0310636962661, 0.09921556322560443
831.1892061499843, 0.10909946658299363
837.6529651710073, 0.11308440539692532
845.4032005020396, 0.0974741135864452
851.6473172262316, 0.0877314088484471
861.123313460935, 0.07998117351741474
880.2008158142455, 0.07232507059931015
899.3096956385316, 0.06663005961719537
908.9425792281143, 0.06868528396611295
923.4075933479762, 0.0727486664574839
933.040476937559, 0.07480389080640126
945.7483526827739, 0.06904612488233508
958.5189833699404, 0.0672105428302483
974.4901160966426, 0.06540633824913744
990.4926262943208, 0.06556322560401684
1001.7257609036711, 0.06763413868842227
1008.2522748666458, 0.07554126137433359
1019.4540320050204, 0.07565108252274899
1030.8440539692501, 0.08752745528710415
1040.4769375588328, 0.08958267963602173
1049.9843112645121, 0.0837935362409794
1056.2284279887042, 0.0740508315029813
1067.2419203012237, 0.06239410103545695
1075.0549105742077, 0.05070599309695689
1087.7314088484468, 0.04298713523690023
1094.0696579855664, 0.039127706306872234
